system,adaptation,provenance,domain,language,language_name,task,split,sample_count,raw_precision,raw_recall,raw_f1,fixed_f1,format_failures,none_predictions,origin
Qwen3-4B zero-shot,zero-shot prompting,experiment,food,en,English,tasd,test,522,13.937282229965156,10.781671159029651,12.158054711246201,12.158054711246201,9,74,this repository
Qwen3-4B zero-shot,zero-shot prompting,experiment,food,en,English,uabsa,test,522,19.350282485875706,18.463611859838274,18.89655172413793,16.0,3,44,this repository
Qwen3-4B zero-shot,zero-shot prompting,experiment,food,de,German,tasd,test,522,10.954616588419405,9.433962264150944,10.137581462708184,10.282404055032584,8,43,this repository
Qwen3-4B zero-shot,zero-shot prompting,experiment,food,de,German,uabsa,test,522,15.761589403973511,16.037735849056602,15.898463593854375,14.161656646626586,10,22,this repository
Qwen3-4B zero-shot,zero-shot prompting,experiment,food,fr,French,tasd,test,522,8.695652173913043,7.547169811320755,8.080808080808081,8.225108225108226,0,52,this repository
Qwen3-4B zero-shot,zero-shot prompting,experiment,food,fr,French,uabsa,test,522,15.755208333333334,16.307277628032345,16.026490066225165,13.245033112582782,2,22,this repository
Qwen3-4B zero-shot,zero-shot prompting,experiment,food,ar,Arabic,tasd,test,522,9.365079365079366,7.951482479784366,8.600583090379008,8.892128279883382,2,49,this repository
Qwen3-4B zero-shot,zero-shot prompting,experiment,food,ar,Arabic,uabsa,test,522,17.72315653298836,18.463611859838274,18.085808580858085,17.02970297029703,4,24,this repository
Qwen3-4B zero-shot,zero-shot prompting,experiment,food,hi,Hindi,tasd,test,522,11.882716049382717,10.377358490566039,11.079136690647482,11.079136690647482,5,39,this repository
Qwen3-4B zero-shot,zero-shot prompting,experiment,food,hi,Hindi,uabsa,test,522,20.630749014454665,21.159029649595688,20.891550232867598,17.298735861610112,8,10,this repository
Qwen3-4B zero-shot,zero-shot prompting,experiment,food,sw,Swahili,tasd,test,522,4.710920770877944,2.964959568733154,3.6393713813068653,3.6393713813068653,1,136,this repository
Qwen3-4B zero-shot,zero-shot prompting,experiment,food,sw,Swahili,uabsa,test,522,11.024844720496894,9.568733153638814,10.245310245310245,9.37950937950938,4,71,this repository
Qwen3-4B zero-shot,zero-shot prompting,experiment,laptop,en,English,tasd,test,532,22.169059011164276,18.361955085865258,20.08670520231214,20.08670520231214,15,43,this repository
Qwen3-4B zero-shot,zero-shot prompting,experiment,laptop,en,English,uabsa,test,532,45.46783625730994,41.08322324966975,43.16446911866759,41.7765440666204,1,36,this repository
Qwen3-4B zero-shot,zero-shot prompting,experiment,laptop,de,German,tasd,test,532,22.22222222222222,18.494055482166445,20.18745493871665,20.18745493871665,22,36,this repository
Qwen3-4B zero-shot,zero-shot prompting,experiment,laptop,de,German,uabsa,test,532,36.7461430575035,34.61030383091149,35.64625850340136,34.965986394557824,6,27,this repository
Qwen3-4B zero-shot,zero-shot prompting,experiment,laptop,fr,French,tasd,test,532,14.97659906396256,12.681638044914134,13.733905579399142,13.733905579399142,29,38,this repository
Qwen3-4B zero-shot,zero-shot prompting,experiment,laptop,fr,French,uabsa,test,532,32.34501347708895,31.704095112285337,32.021347565043364,30.953969312875255,6,12,this repository
Qwen3-4B zero-shot,zero-shot prompting,experiment,laptop,ar,Arabic,tasd,test,532,17.928902627511594,15.323645970937912,16.524216524216527,16.80911680911681,23,37,this repository
Qwen3-4B zero-shot,zero-shot prompting,experiment,laptop,ar,Arabic,uabsa,test,532,40.42838018741633,39.89431968295905,40.159574468085104,40.159574468085104,7,18,this repository
Qwen3-4B zero-shot,zero-shot prompting,experiment,laptop,hi,Hindi,tasd,test,532,20.989761092150168,16.248348745046233,18.317200297840657,18.317200297840657,28,37,this repository
Qwen3-4B zero-shot,zero-shot prompting,experiment,laptop,hi,Hindi,uabsa,test,532,46.984572230014024,44.253632760898284,45.57823129251701,44.353741496598644,11,13,this repository
Qwen3-4B zero-shot,zero-shot prompting,experiment,laptop,sw,Swahili,tasd,test,532,7.142857142857142,1.9815059445178336,3.102378490175801,3.102378490175801,2,348,this repository
